station_end,station_start,timestamp_duration,timestamp_end,timestamp_start,lat_lng_start,lat_lng_end,driving_distance,driving_predicted_duration,bicycling_distance,bicycling_predicted_duration,subway_distance,subway_predicted_duration,duration
Central Park West & W 100 St,E 11 St & 1 Ave,41 min 33 s,2017-12-23 22:45:10,2017-12-23 22:03:37,"40.72953837,-73.98426726","40.793393,-73.9635556",10266,1509,8881,2033,10266,1509,2493.0
E 11 St & 1 Ave,W 70 St & Amsterdam Ave,28 min 23 s,2017-12-23 15:43:46,2017-12-23 15:15:23,"40.77748046,-73.98288594","40.72953837,-73.98426726",7424,1820,7399,1743,7424,1820,1703.0
W 100 St & Manhattan Ave,W 53 St & 10 Ave,18 min 32 s,2017-12-23 02:20:56,2017-12-23 02:02:24,"40.76669671,-73.99061728","40.795,-73.9645",5201,701,4224,1055,5201,701,1112.0
W 52 St & 9 Ave,Columbus Ave & W 95 St,12 min 55 s,2017-12-22 22:36:18,2017-12-22 22:23:23,"40.7919557,-73.968087","40.76461837,-73.98789473",3479,696,3479,726,3479,696,775.0
6 Ave & W 33 St,W 11 St & 6 Ave,17 min 47 s,2017-12-21 18:13:55,2017-12-21 17:56:08,"40.73532427,-73.99800419","40.74901271,-73.98848395",1749,474,1749,381,1749,474,1067.0
St Marks Pl & 2 Ave,University Pl & E 14 St,9 min 23 s,2017-12-21 16:21:17,2017-12-21 16:11:54,"40.73492695,-73.99200509","40.7284186,-73.98713956",1219,408,1219,328,1219,408,563.0
Sullivan St & Washington Sq,Amsterdam Ave & W 119 St,36 min 10 s,2017-12-21 14:52:16,2017-12-21 14:16:06,"40.8086249,-73.9596214","40.73047747,-73.99906065",13471,1962,10332,2171,13471,1962,2170.0
Columbus Ave & W 95 St,Amsterdam Ave & W 119 St,7 min 12 s,2017-12-20 14:13:35,2017-12-20 14:06:23,"40.8086249,-73.9596214","40.7919557,-73.968087",2145,446,2145,491,2145,446,432.0
Central Park West & W 100 St,W 116 St & Amsterdam Ave,29 min 23 s,2017-12-18 18:30:25,2017-12-18 18:01:02,"40.8067581,-73.9607082","40.793393,-73.9635556",1818,416,1970,414,1818,416,1763.0
Cathedral Pkwy & Broadway,Columbus Ave & W 95 St,9 min 26 s,2017-12-17 12:10:46,2017-12-17 12:01:20,"40.7919557,-73.968087","40.804213,-73.96699104",2086,445,2086,444,2086,445,566.0
Central Park West & W 100 St,E 60 St & York Ave,23 min 57 s,2017-12-17 08:22:04,2017-12-17 07:58:07,"40.759107,-73.959223","40.793393,-73.9635556",5465,839,5664,1462,5465,839,1437.0
